@relation Data

@attribute instr { 1,2,3 }
@attribute class { 2,7,10,1,6,11,13,3,4,5,8,9,12 }
@attribute nb#repeat { 1,3,2 }
@attribute attendance { 0,1,2,3,4 }
@attribute difficulty { 4,3,1,2,5 }
@attribute Q1 { 3,5,1,4,2 }
@attribute Q2 { 3,5,1,4,2 }
@attribute Q3 { 3,5,1,4,2 }
@attribute Q4 { 3,5,1,4,2 }
@attribute Q5 { 3,5,1,4,2 }
@attribute Q6 { 3,5,1,4,2 }
@attribute Q7 { 3,5,1,4,2 }
@attribute Q8 { 3,5,1,4,2 }
@attribute Q9 { 3,5,1,4,2 }
@attribute Q10 { 3,5,1,4,2 }
@attribute Q11 { 3,5,1,4,2 }
@attribute Q12 { 3,5,1,4,2 }
@attribute Q13 { 3,5,1,4,2 }
@attribute Q14 { 3,5,1,4,2 }
@attribute Q15 { 3,5,1,4,2 }
@attribute Q16 { 3,5,1,4,2 }
@attribute Q17 { 3,5,1,4,2 }
@attribute Q18 { 3,5,1,4,2 }
@attribute Q19 { 3,5,1,4,2 }
@attribute Q20 { 3,5,1,4,2 }
@attribute Q21 { 3,5,1,4,2 }
@attribute Q22 { 3,5,1,4,2 }
@attribute Q23 { 3,5,1,4,2 }
@attribute Q24 { 3,5,1,4,2 }
@attribute Q25 { 3,5,1,4,2 }
@attribute Q26 { 3,5,1,4,2 }
@attribute Q27 { 3,5,1,4,2 }
@attribute Q28 { 3,5,1,4,2 }


@data
1,2,1,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,2,1,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,2,1,0,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,2,1,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,2,1,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,2,1,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,2,2,1,5,3,3,2,2,5,3,3,3,5,5,4,4,3,4,4,4,4,4,4,4,4,5,4,5,5,4,4,4
1,2,1,2,4,1,1,4,2,3,3,2,2,2,2,3,2,4,3,3,3,5,2,3,3,3,1,3,3,1,3,3,2
1,7,3,0,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,7,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
1,7,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,7,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,7,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,7,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,7,1,1,3,4,4,4,4,4,4,4,3,3,3,3,4,4,3,3,1,3,2,3,3,3,3,3,3,3,3,3,3
1,7,1,3,3,1,1,5,1,5,4,5,5,1,4,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,7,1,1,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4
1,7,1,0,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,7,1,2,2,3,3,4,4,4,3,4,5,3,3,4,3,4,3,4,3,4,3,4,3,2,3,3,3,4,4,4,3
1,7,1,4,4,4,5,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,7,1,2,4,2,2,4,2,3,2,3,4,3,3,4,1,4,4,4,3,4,4,4,4,3,2,3,4,4,4,4,3
1,7,1,3,4,4,4,4,4,4,4,4,4,5,5,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,7,1,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,7,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,7,1,4,4,2,2,2,2,3,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,3,4,3,3,4
1,7,1,0,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,7,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,7,1,1,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,7,1,4,3,2,4,4,2,4,1,3,4,2,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,7,1,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,7,1,2,4,2,2,5,2,4,1,4,5,3,3,4,1,3,3,3,2,5,4,5,2,3,3,3,4,4,1,1,5
1,7,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,7,1,2,4,2,2,2,3,3,3,3,2,2,2,3,2,2,2,3,2,3,4,3,2,3,3,2,3,4,2,2,4
1,7,1,1,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,7,1,4,3,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,7,1,4,4,2,2,2,2,4,3,3,4,3,3,4,3,2,2,2,2,3,3,3,2,3,3,3,3,2,4,2,3
1,7,1,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,7,1,3,3,1,1,2,1,2,3,1,2,5,2,3,1,1,1,2,1,4,2,2,1,1,3,1,1,2,2,2,2
1,7,1,4,4,3,5,4,3,5,4,4,5,5,5,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,7,1,4,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,7,1,3,3,3,4,3,4,3,4,3,4,4,4,4,4,4,3,4,3,4,3,4,3,4,3,4,3,4,4,4,4
1,7,1,1,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,7,1,3,4,2,4,4,2,4,4,2,4,3,3,4,2,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3
1,7,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,7,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,7,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,7,1,1,4,1,3,4,1,2,1,1,4,1,2,2,1,2,2,3,2,2,5,1,4,3,1,3,5,4,4,1,5
1,7,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,7,2,3,4,2,2,4,3,2,3,3,4,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,3
1,7,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,7,1,3,4,2,2,3,2,4,3,4,4,4,3,5,3,4,4,4,4,3,3,4,4,4,3,4,4,4,4,4,4
1,7,1,1,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,7,3,1,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,7,3,1,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,7,3,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,7,3,0,4,3,3,3,2,3,3,3,4,4,4,3,3,3,3,3,3,2,3,3,3,2,2,2,3,3,3,2,3
1,7,3,0,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
